13;More;Hipper.mp3,328.65,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\13;More;Hipper.mp3,9.21,2012-04-14T07:53:18.765625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;One;Way;Or;Another;1.mp3,324.34,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\13;One;Way;Or;Another;1.mp3,8.2,2012-04-14T07:48:24.828125;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Rebirth;Got;Fire.mp3,56.21,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\13;Rebirth;Got;Fire.mp3,1.72,2012-04-14T07:38:52.578125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Cha;Dooky-Do;1.mp3,73.13,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Cha;Dooky-Do;1.mp3,2.11,2012-04-14T07:11:52.390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Christopher;Jr..mp3,71.4,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Christopher;Jr..mp3,2.07,2012-04-14T07:11:52.468750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Davis;for;Council.mp3,61.66,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Davis;for;Council.mp3,1.85,2012-04-14T07:38:35.234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;If;You;Want;Me;To;Stay.mp3,367.04,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;If;You;Want;Me;To;Stay.mp3,3.24,2012-04-14T07:43:42.921875;;;;;;;;;;;;;;;;;;;;;;;;
14;Little;Old;Money;Maker.mp3,161.46,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Little;Old;Money;Maker.mp3,6.6,2012-04-14T07:45:34.812500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Nuki;Suki.mp3,330.22,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Nuki;Suki.mp3,13.03,2012-04-14T07:33:59.500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Ooh;Na;Nay.mp3,191.09,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Ooh;Na;Nay.mp3,4.81,2012-04-14T07:34:36.703125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Real;Best;Friend.mp3,167.26,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Real;Best;Friend.mp3,4.27,2012-04-14T07:22:05.250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Strippers.mp3,97.54,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;Strippers.mp3,2.67,2012-04-14T07:04:48.984375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;You;And;I_Do;It;Fluid.mp3,116.47,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\14;You;And;I_Do;It;Fluid.mp3,3.1,2012-04-14T07:53:21.906250;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Can't;See;For;Looking;1.mp3,147.17,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;Can't;See;For;Looking;1.mp3,2.68,2012-04-14T07:48:51.078125;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Gatur;Bait.mp3,164.44,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;Gatur;Bait.mp3,3.89,2012-04-14T07:25:26.515625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;I;Wish;Someone;Would;Care.mp3,141.04,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;I;Wish;Someone;Would;Care.mp3,3.13,2012-04-14T07:24:48.906250;;;;;;;;;;;;;;;;;;;;;;;;;;
"15 Injuns, Here We Come.mp3,325.1,""D:\iomega";drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;Injuns,;Here;We;"Come.mp3"",4.16,2012-04-14T07:04:26.609375";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;King;Porter;Stomp.mp3,63.38,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;King;Porter;Stomp.mp3,1.89,2012-04-14T07:47:04.515625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Mystery;Train;Part;II.mp3,153.42,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;Mystery;Train;Part;II.mp3,4.53,2012-04-14T07:53:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Quantum;Time.mp3,46.94,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;Quantum;Time.mp3,1.51,2012-04-14T07:48:46.203125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15 String Quartet No. 24 In A Major,.mp3,178.02,""D:\iomega";drive;archive\Presets\old;docs\TREME;SOUNDTRACK\15;String;Quartet;No.;24;In;A;"Major,.mp3"",4.51,2012-04-14T07:51:05.906250";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
